folder,doi,publisher,crossref_license,unpaywall_license,oa_status,classification,reason
10.7717_peerj.7973,10.7717/peerj.7973,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj-cs.2411,10.7717/peerj-cs.2411,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.6430,10.7717/peerj.6430,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.19507,10.7717/peerj.19507,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.11696,10.7717/peerj.11696,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.2698,10.7717/peerj.2698,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.5041,10.7717/peerj.5041,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.10105,10.7717/peerj.10105,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.4622,10.7717/peerj.4622,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.14373,10.7717/peerj.14373,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.15852,10.7717/peerj.15852,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.6923,10.7717/peerj.6923,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.17685,10.7717/peerj.17685,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.10578,10.7717/peerj.10578,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.8132,10.7717/peerj.8132,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.10888,10.7717/peerj.10888,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_59512,10.2196/59512,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_50919,10.2196/50919,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_37347,10.2196/37347,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_18521,10.2196/18521,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_18636,10.2196/18636,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_52167,10.2196/52167,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_40237,10.2196/40237,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_24656,10.2196/24656,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_16854,10.2196/16854,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_11734,10.2196/11734,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_mhealth.7857,10.2196/mhealth.7857,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_26462,10.2196/26462,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_31970,10.2196/31970,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_30474,10.2196/30474,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_49102,10.2196/49102,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_26993,10.2196/26993,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_44818,10.2196/44818,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_62802,10.2196/62802,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_46493,10.2196/46493,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_36417,10.2196/36417,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_14306,10.2196/14306,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_11492,10.2196/11492,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_24166,10.2196/24166,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_27047,10.2196/27047,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_17978,10.2196/17978,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_mhealth.7297,10.2196/mhealth.7297,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_43664,10.2196/43664,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_23303,10.2196/23303,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_58862,10.2196/58862,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_25451,10.2196/25451,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_25775,10.2196/25775,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_49144,10.2196/49144,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_13870,10.2196/13870,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.2196_48568,10.2196/48568,JMIR,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
